Image,Individual,Calendar,,,,
UoEart~2~2~73046~164090,05! February,2012: Historical Musical Instruments at St Cecilia's Hall,,,Feb-12,Harpsichord Rose in soundboard
UoEart~2~2~73051~164085,06! March,2012: Historical Musical Instruments at St Cecilia's Hall,,,Mar-12,Harpsichord keyboard view
UoEart~2~2~73061~164075,07! April,2012: Historical Musical Instruments at St Cecilia's Hall,,,Apr-12,Clavichord lid painting
UoEart~2~2~73055~164081,08! May,2012: Historical Musical Instruments at St Cecilia's Hall,,,May-12,Harpsichord soundboard view
UoEart~2~2~73084~164125,09! June,2012: Historical Musical Instruments at St Cecilia's Hall,,THAT IMAGE DOESN'T EXIST IT SEEMS,Jun-12,Mandolin head detail
UoEart~2~2~73038~164098,10! July,2012: Historical Musical Instruments at St Cecilia's Hall,,,Jul-12,Euphonicon
UoEart~2~2~73057~164079,11! August,2012: Historical Musical Instruments at St Cecilia's Hall,,,Aug-12,Harpsichord soundboard view
UoEart~2~2~73040~164096,12! September,2012: Historical Musical Instruments at St Cecilia's Hall,,,Sep-12,Baroque Guitar
UoEart~2~2~73066~164071,13! October,2012: Historical Musical Instruments at St Cecilia's Hall,,,Oct-12,Harpsichord
UoEart~2~2~73067~164068,14! November,2012: Historical Musical Instruments at St Cecilia's Hall,,,Nov-12,Harpsichord
UoEart~2~2~73060~164076,15! December,2012: Historical Musical Instruments at St Cecilia's Hall,,,Dec-12,Clavichord keyboard view
UoEgal~5~5~150794~165555,00! Cover,2011: Treasures from University Collections,http://hdl.handle.net/10683/22080,,Cover 2011,The panorama of Edinburgh from Calton Hill
UoEgal~4~4~44196~103314,04! January,2011: Treasures from University Collections,,,Jan-11,Curling
UoEart~1~1~5887~100332,05! February,2011: Treasures from University Collections,,,Feb-11,Interior of a Cathedral
UoEgal~5~5~56322~105222,06! March,2011: Treasures from University Collections,,,Mar-11,Volcans d'air de Turbaco
UoEgal~5~5~65665~104261,07! April,2011: Treasures from University Collections,,,Apr-11,Edinburgh
UoEgal~5~5~59872~105492,08! May,2011: Treasures from University Collections,,,May-11,The Japan Pheasant (Phasianus versicolor)
UoEgal~5~5~59859~105491,09! June,2011: Treasures from University Collections,,,Jun-11,Lisbon harbour
UoEgal~5~5~59834~105489,10! July,2011: Treasures from University Collections,,,Jul-11,Les Andelys
UoEwmm~2~2~44798~102026,11! August,2011: Treasures from University Collections,,,Aug-11,Marginal illustration with drolleries
UoEgal~5~5~59895~105494,12! September,2011: Treasures from University Collections,,,Sep-11,"The kitchen, St James's Palace"
UoEcar~4~4~48003~102513,13! October,2011: Treasures from University Collections,,,Oct-11,"Greyfriars Churchyard, Edinburgh, the McCulloch Monument and the Martyr's Monument"
UoEgal~5~5~60122~105512,14! November,2011: Treasures from University Collections,,,Nov-11,Persian No.2. From manuscripts of the 16th and 17th centuries
UoEgal~5~5~59907~105495,15! December,2011: Treasures from University Collections,,,Dec-11,The stand of the Hackney coachmen
UoEgal~5~5~56957~105275,04! January,2010: Treasures from Special Collections,,,Jan-10,Portolan chart of the Mediterranean Sea
UoEsha~4~4~60614~102842,05! February,2010: Treasures from Special Collections,,,Feb-10,Yunus (Jonah) and the whale
UoEsha~4~4~56943~103006,06! March,2010: Treasures from Special Collections,,,Mar-10,Indian Ragamala Painting
UoEgal~5~5~149128~110013,07! April,2010: Treasures from Special Collections,,,Apr-10,He poured forth his spirit...
UoEgal~5~5~55107~105123,08! May,2010: Treasures from Special Collections,,,May-10,Kimono designs
UoEsha~4~4~62574~102461,09! June,2010: Treasures from Special Collections,,,Jun-10,"Tasawir, perian style painting"
UoEgal~5~5~52450~104039,10! July,2010: Treasures from Special Collections,,,Jul-10,Venice - coat of arms
UoEwmm~1~1~12784~100097,11! August,2010: Treasures from Special Collections,,,Aug-10,Celtic Psalter
UoEsha~4~4~63619~102940,12! September,2010: Treasures from Special Collections,,,Sep-10,Hindu ascetic seated on a deer skin
UoEgal~5~5~52360~104032,13! October,2010: Treasures from Special Collections,,,Oct-10,Danus
UoEgal~5~5~56310~105221,14! November,2010: Treasures from Special Collections,,,Nov-10,"Grand procession from a tablet at Thebes, Upper Egypt"
UoEwmm~1~1~29178~101339,15! December,2010: Treasures from Special Collections,,,Dec-10,Christmas
UoEwmm~2~2~40903~102077,04! January,2008: Travel,,,Jan-08,A 'wind-chariot' on the beach in Holland
UoEgal~5~5~65560~104252,05! February,2008: Travel,,,Feb-08,HMS Challenger moored on St Paul's Rocks [mid Atlantic ocean]
UoEgal~5~5~66142~104302,06! March,2008: Travel,,,Mar-08,Radeau de la Riviere de Guayaquil [Ecuador]
UoEgal~5~5~66179~104305,07! April,2008: Travel,,,Apr-08,Tom Coryate riding on an elephant
UoEart~1~1~5871~100331,08! May,2008: Travel,,,May-08,A Cavalcade
UoEgal~5~5~66203~104307,09! June,2008: Travel,,,Jun-08,Native American noblemen riding on a sea monster
UoEgal~5~5~66566~104337,10! July,2008: Travel,,,Jul-08,Scene in Sitsikamma [Tsitskikamma National Park]
UoEgal~5~5~66635~104343,11! August,2008: Travel,,,Aug-08,Vue de la Fontaine de Cyane
UoEgal~5~5~66590~104339,12! September,2008: Travel,,,Sep-08,Vue de Tusa
UoEgal~5~5~66517~104333,13! October,2008: Travel,,,Oct-08,View of Sassoor in the Deccan
UoEgal~5~5~66961~104370,14! November,2008: Travel,,,Nov-08,Crossing the Touse
UoEgal~5~5~52511~104044,00! Cover,2007: Natural World,,,Cover 2007,"Magnolia altissima, flore ingenti candido: The Laurel Tree of Carolina"
UoEgal~5~5~52790~104069,04! January,2007: Natural World,,,Jan-07,"Southern Golden Bird of Paradise', from New Guinea"
UoEgal~5~5~52500~104043,05! February,2007: Natural World,,,Feb-07,The Tang' (above) and 'The Yellow Fish' (below)
UoEgal~5~5~52488~104042,06! March,2007: Natural World,,,Mar-07,The Water Frog
UoEgal~5~5~52722~104063,07! April,2007: Natural World,,,Apr-07,The Chameleon
UoEgal~5~5~74144~105652,08! May,2007: Natural World,,,May-07,The Lion-Tailed Monkey
UoEgal~5~5~52779~104068,09! June,2007: Natural World,,,Jun-07,The Purple Emperor and other species of British butterflies
UoEgal~5~5~64345~103881,10! July,2007: Natural World,,,Jul-07,Pheasants (male and female)
UoEgal~5~5~48907~104842,11! August,2007: Natural World,,,Aug-07,The Red Orang-outang of Asia' & 'The Black Orang-outang of Africa'
UoEsha~4~4~62586~102462,13! October,2007: Natural World,,,Oct-07,Elephant
UoEgal~5~5~52544~104047,14! November,2007: Natural World,,,Nov-07,The Little Owl
UoEgal~5~5~52756~104066,15! December,2007: Natural World,,,Dec-07,The Polar Bear
UoEhal~2~2~100071~100051,04! January,2006: Object Lessons,,,Jan-06,The Medical School Anatomy Museum
UoEhal~2~2~99809~100053,05! February,2006: Object Lessons,,,Feb-06,Model of Rock Salt Molecule
UoEhal~2~2~99766~100034,06! March,2006: Object Lessons,,,Mar-06,Tahrir Uqlidis
UoEhal~2~2~99991~100057,07! April,2006: Object Lessons,,,Apr-06,Chillingham Bull
UoEhal~2~2~99898~100052,08! May,2006: Object Lessons,,,May-06,Penicillin Mould
UoEhal~2~2~100139~100031,09! June,2006: Object Lessons,,,Jun-06,Scotia Illustrata
UoEcha~1~1~313931~102922,10! July,2006: Object Lessons,,,Jul-06,Scotiae Tabula
UoEhal~2~2~100175~100067,11! August,2006: Object Lessons,,,Aug-06,"Dwelling houses and women in the landscape, Eriskay"
UoEhal~2~2~99679~100065,12! September,2006: Object Lessons,,,Sep-06,Georgics: agricultural pursuits
UoEart~1~1~5132~100011,13! October,2006: Object Lessons,,,Oct-06,Principal William Robertson (1721-1793)
UoEart~2~2~73688~167307,14! November,2006: Object Lessons,,,Nov-06,The Anaconda
UoEhal~2~2~100188~100038,15! December,2006: Object Lessons,,,Dec-06,The Cowgate at the foot of Horse Wynd
