System ID,Firstnames,Lastname,Known As,Title,Post Nominals,Person Corporate Type,Record Type,Role,Gender
5880,,Musée Royal du Louvre,,,,,Person,"Production Person (pri & sec), Production Person (primary)",
8519,Carolyn,Muskat,Carolyn,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6031,Leszek,Muszynski,Leszek,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
6921,Leszek T.,Muszynski,Leszek,,,Individual,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
6988,Charles,Myatt,Charles,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
506,Arnold,Myers,,,,Individual,,"Production Person : Creator, Cataloguer, Curator, History Location External, Loc'n Mover, Researcher, Registrar, Acquisition Source : lender, Acquisition Source : vendor",
143,Daniel,Mytens,Daniel,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
199,Robert,Nanteuil,,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (primary) : Engraver",Male
872,John,Napier,,Lord,,,Person,Subject Person,Male
1270,Alexander,Nasmyth,,,,Individual,,"Production Person (pri & sec) : Painter, Production Person (pri & sec) : Artist, Production Person (primary) : Painter, Production Person (primary) : Artist",Male
363,Patrick,Nasmyth,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
8866,,National Fund for Acquisitions,,,,,Corporate,Funder,
8438,Chris,Nau,Chris,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
153,Pieter,Neefs,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
6887,Andrew J.,Neil,Andrew,,,Individual,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
5888,Kenneth T. W.,Neil,,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
6492,John,Nelson,John,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
7293,Leonie,Neuweger,Leonie,,,,Person,"Production Person (pri & sec) : Architect, Production Person (primary) : Architect",
728,Mary,Newcomb,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6282,Nita,Newman,Nita,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7732,Isaac,Newton,,,,Individual,Person,Subject Person : Sitter,
6446,Jenny,Nex,Jenny,Dr,,Individual,Person,"Loc'n Authoriser, Loc'n Mover, Production Person (pri & sec) : Maker, Production Person (primary) : Maker",
5970,Grace,Nichol,Grace,,,,Person,"Production Person (pri & sec), Production Person (primary)",
7020,Janie,Nichol,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
821,Ben,Nicholson,,,,Individual,,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist, Related Person : Child",Male
6064,James,Nicholson,James,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
760,William Newzam Prior,Nicholson,William,Sir,,Individual,,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist, Related Person : Parent",Male
8984,Jock,Nicol,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8399,,Nicoll,,Mr,,Individual,Person,Subject Person : Sitter,Male
6398,J,Nicoll,J,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6941,Jane R.,Nicoll,Jane,,,Individual,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
492,Alex,Nisbet,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
6030,Norman,Nisbet,Norman,,,,Person,"Production Person (pri & sec), Production Person (primary)",
6331,Kyle,Noble,Kyle,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8907,Rumi Augusta,Nogua,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8461,Karin,Nogva,Karin,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
328,Sidney,Nolan,,Sir,,Individual,,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
7026,,Nugent,,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
6045,Laura,Nye,Laura,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
721,Veena,O'Halloran,,,,Individual,,Current Owner,
6065,John,O'Neill,John,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7500,James,O'Nolan,James,,,,Person,"Production Person (pri & sec) : Printer, Production Person (primary) : Printer",Male
8653,Ciaran,O'Nuallian,Ciaran,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6451,Leah,Oates,Leah,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Female
8514,Ky,Ober,Ky,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
1499,Johannes,Oecolampadius,Johannes,,,Individual,Person,Subject Person : Sitter,Male
78,Hendrick ten,Oever,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
1613,Catherine,of Braganza,Catherine,,,,Person,Subject Person : Sitter,Female
476,Noreen,Ogilvie,,,,Individual,,Current Owner,
6645,Sara,Ogilvie,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Female
7049,Margaret C.,Ogilvy,Margary,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8507,Asuka,Ohsawa,Asuka,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6576,Glen M. K.,Onwin,Glen,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
7939,John,Opie,,,,Individual,Person,"Production Person (pri & sec) : Painter, Production Person (secondary) : Painter",Male
208,Ann,Oram,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Female
6563,Catherine,Orbach,Catherine,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
201,Robert,Organ,,,,Individual,,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
910,Eleanor Anne,Ormerod,Eleanor,LL.D. F.R.MET. SOC.,,Individual,Person,Subject Person : Sitter,Female
6954,Norman,Orr,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8526,Jacques-Philippe d',Orville,,,,,Person,"Production Person (pri & sec) : Poet, Production Person (secondary) : Poet",
8457,Regine,Osbakk,Regine,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8234,William,Osborn,,,,Individual,Person,Subject Person : Sitter,
7289,Mark,Osborne,Mark,,,,Person,"Production Person (pri & sec) : Photographer, Production Person (primary) : Photographer",
7700,Adriaen van,Ostade,,,,Individual,Person,"Production Person (pri & sec) : Painter, Production Person (secondary) : Painter",
6826,Sally E.,Oswald,Sally,,,Individual,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6421,Nicholas,Otter,Nicholas,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7782,Jean-Baptiste,Oudry,,,,Individual,Person,"Production Person (pri & sec) : Painter, Production Person (secondary) : Painter",Male
887,Walter William,Ouless,Walter,,,Individual,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
118,Mohamed,Ounouh,Mohamed,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
348,Cathy,Outram,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
8408,Philip,Overton,Philip,,,Individual,Person,"Production Person (pri & sec) : Engraver and Publisher/printseller, Production Person (secondary) : Engraver and Publisher/printseller",
7828,Henry,Owen,,Rev.,,Individual,Person,Subject Person : Sitter,
7445,Jonathan,Owen,Jonathan,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
8053,Richard,Owen,,Sir,,Individual,Person,Subject Person : Sitter,
5898,Sheena,Page,Sheena,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
3016,Henry Marriot,Paget,,,,,Person,"Production Person (pri & sec) : Copyist, Production Person (primary) : Copyist",Male
8222,Sir James,Paget,,Sir,,Individual,Person,Subject Person : Sitter,
6937,Robin,Paine,Robin,,,Individual,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
475,Alirio,Palacios,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
8169,C.L.F.,Panckoucke,,,,Individual,Person,"Production Person (pri & sec) : Publisher, Production Person (secondary) : Publisher",
350,Giovanni Paolo,Panini,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
546,Juliet,Pannett,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
36,Eduardo Luigi,Paolozzi,Eduardo,,"KBE, RA",Individual,,"Production Person (pri & sec), Production Person (pri & sec) : Sculptor, Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Sculptor, Production Person (primary) : Artist, Acquisition Source : donor",Male
5881,Clement,Pappi,Clement,,,,Person,"Production Person (pri & sec), Production Person (primary)",
8154,", Philippus Aureolus Theophrastus","Paracelsus, Bombast von Hohenheim",,,,Individual,Person,Subject Person : Sitter,
8840,,Parasol Press Ltd.,,,,,Corporate,"Production Person (pri & sec) : Publisher, Production Person (primary) : Publisher",
6343,Alistair M,Park,Alistair,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
8895,Mary Ann,Park,Mary,,,Individual,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7979,Mungo,Park,,,,Individual,Person,Subject Person : Sitter,
402,Patric,Park,,,,Individual,,"Production Person (pri & sec) : Sculptor, Production Person (primary) : Sculptor",Male
144,Alex Hyde,Parker,,,,Individual,,Current Owner,
5963,Mollie,Parker,Mollie,,,,Person,"Production Person (pri & sec), Production Person (primary)",
6485,Andrew,Parkinson,A.,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6026,John,Parnell,John,,,,Person,"Production Person (pri & sec), Production Person (primary)",
7632,Remi,Parr,,,,Individual,Person,"Production Person (pri & sec) : Engraver, Production Person (primary) : Engraver",
7643,Miles,Partington,,,,Individual,Person,Subject Person : Sitter,
8025,John,Partridge,,,,Individual,Person,"Production Person (pri & sec) : Painter, Production Person (secondary) : Painter",
3040,Mario,Pastori,,,,,Person,"Production Person (pri & sec) : Founder, Production Person (primary) : Founder",Male
7611,John,Patch,,,,Individual,Person,Subject Person : Sitter,
8925,Collette,Paterson,Collette,,,,Person,"Production Person (pri & sec) : Maker, Production Person (primary) : Maker",
5839,G,Paterson,,,,,Person,"Production Person (pri & sec) : Engraver, Production Person (primary) : Engraver",
6339,Ian,Paterson,Ian,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6001,Katie,Paterson,Katie,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
85,Susie,Paterson,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
3024,John,Patoun,John,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6569,A.,Patterson Barclay,A.,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6355,Charles Ian,Patterson,Charles,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7250,Ian,Patterson,Ian,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6859,Raymon,Pattie,Raymon,,,Individual,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8922,Claire,Pattison,Claire,,,,Person,"Production Person (pri & sec) : Maker, Production Person (primary) : Maker",
8503,Grace,Paul,Grace,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7396,Sidheswar,Paul,Sidheswar,,,,Person,"Production Person (pri & sec) : Sculptor, Production Person (primary) : Sculptor",Male
6028,Dorothy M.,Peach,Dorothy,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
8447,Emma,Peacock,Emma,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6450,Jodie,Pear,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Female
7953,Christopher,Pegge,,Sir,,Individual,Person,Subject Person : Sitter,
8075,Thomas,Pellet(t),,,,Individual,Person,Subject Person : Sitter,
8220,Robert Rainy,Pennington,,,,Individual,Person,Subject Person : Sitter,
779,Samuel John,Peploe,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
256,Emily,Peppers,Emily,,,Individual,Person,Cataloguer,
