System ID,Firstnames,Lastname,Known As,Title,Post Nominals,Person Corporate Type,Record Type,Role,Gender
6960,,Arthur or Fritz Sprinz,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
6997,,Arthus Bertrand Paris,,,,,Corporate,"Production Person (pri & sec) : Maker, Production Person (primary) : Maker",
834,,"Arts, Culture and Environment",,,,Academic,Corporate,Controlling Institution,
2625,,Ascribed to Arthur Falkner,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2091,,Ascribed to Betts,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2802,,ascribed to Hüller,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2102,,Ascribed to Jomier,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
1789,,ascribed to Josef Dörfler.,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
4500,Anthony,Ashley,,Sir,,Individual,,"Production Person (pri & sec) : Translator, Production Person (primary) : Translator",
5061,,Askeri Muzesi,,,,Museum,Corporate,Acquisition Source : donor,
7240,Kjartan,Asmundsson,,,,Individual,Person,"Production Person (pri & sec) : possibly, Production Person (primary) : possibly",Male
4822,Francis Aegidius,Assiotti,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
2273,,Association des Ouvriers,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2961,,Astor,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2514,,Astor and Horwood,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
7039,,Atkin Brothers Sheffield,,,,,Corporate,"Production Person (pri & sec) : Maker, Production Person (primary) : Maker",
4088,William,Atkinson,,,,Individual,Person,Subject Person,
1993,,Aug. Clemens Glier,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2925,L.,Augu,L.,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
2906,,Auguste Courtois Aîné,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2824,,Auguste Feuillet & Fils,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
958,H.,Austin,,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
1642,,Avedis Zildjian,,,,Business,Corporate,"Production Person (pri & sec), Production Person (pri & sec) : Possible maker, Production Person (primary), Production Person (primary) : Possible maker",
1785,,Avedis Zildjian Co.,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
4558,Joseph,Avery,,,,Individual,,"Production Person (pri & sec) : Mapmaker, Production Person (pri & sec) : Associated Person, Production Person (pri & sec) : Surveyor, Production Person (primary) : Mapmaker, Production Person (primary) : Associated Person, Production Person (primary) : Surveyor",
4986,Robert,Axtens,Robert,,,,Person,Acquisition Source : donor,
2712,,B & H,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
4225,,B&H Artists Perfected,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
5051,,Babhram,,,,Individual,Person,"Production Person (pri & sec) : Owner, Production Person (primary) : Owner",
2719,Vincent,Bach,Vincent,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
2253,Georges Chrétien,Bachmann,,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
2531,J.G.H.,Backofen,,,,,Person,"Production Person (pri & sec), Production Person (primary)",
4015,Francis,Bacon,Francis,,,Individual,Person,Subject Person,
959,Frederick,Bacon,,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
4361,Jacopo,Bagnoni,,,,Individual,,"Production Person (pri & sec) : Publisher, Production Person (primary) : Publisher",
4016,Joanna,Baillie,,,,Individual,Person,Subject Person,
5403,John,Baillie,John,,of Leys,Individual,Person,"Production Person (pri & sec) : Previous owner, Production Person (primary) : Previous owner",
2858,Luigi,Baillon,,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
2412,,Bainbridge,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2413,,Bainbridge & Wood,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2411,,Bainbridge & Wood (foot stamped Clementi & Co.),,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
4201,Christopher,Baines,Christopher,,,Individual,Person,"Acquisition Source : donor, Acquisition Source : lender",
5829,Ruth,Baird,Ruth,,,Individual,Person,Acquisition Source : lender,
2862,,Baker Harris,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
960,R.,Baker,,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
5002,W,Baker,W,,,Individual,Person,"Production Person (pri & sec) : Maker, Production Person (primary) : Maker",
4342,Thomas,Bakewell,,,,Individual,,"Production Person (pri & sec) : Publisher, Production Person (primary) : Publisher",
4752,Thomas,Bakewell,,,,Individual,,"Production Person (pri & sec) : Mapmaker, Production Person (primary) : Mapmaker",
961,M. W. (Michael William),Balfe,M. W.,,,Individual,,"Production Person (pri & sec) : Composer, Production Person (secondary) : Composer",
4492,James,Balfour,,Sir,of Denmilne,Individual,,"Production Person (pri & sec) : Copyist, Production Person (pri & sec) : Dedicatee, Production Person (primary) : Copyist, Production Person (primary) : Dedicatee",
962,George,Balmer,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
2346,Daniel,Bangham,Daniel,,,Individual,Person,"Production Person (pri & sec), Production Person (pri & sec) : Maker, Production Person (primary), Production Person (primary) : Maker",
4017,Joseph,Banks,Joseph,Sir,,Individual,Person,Subject Person,Male
963,William,Banks,,,,Individual,,"Production Person (pri & sec) : Printmaker, Production Person (primary) : Printmaker",
2461,,Bannon,,,,Business,Corporate,"Production Person (pri & sec), Production Person (pri & sec) : Possible maker, Production Person (primary), Production Person (primary) : Possible maker",
2752,,Barbe & Fils,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
964,Thomas,Barber,,,,Individual,,"Production Person (pri & sec) : Engraver, Production Person (secondary) : Engraver",
8753,,Barbet & Granier,,,,,Corporate,"Production Person (pri & sec), Production Person (pri & sec) : Dealer, Production Person (pri & sec) : Maker, Production Person (primary), Production Person (primary) : Dealer, Production Person (primary) : Maker",
8971,J.P.,Barbu,J.P.,,,,Person,"Production Person (pri & sec) : Maker, Production Person (primary) : Maker",
5078,Robert L,Barclay,Robert,,,Individual,Person,"Production Person (pri & sec), Production Person (primary), Acquisition Source : donor",
2420,,Bärenreiter,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
2506,C.S.,Barfoot,C.S.,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
1486,Paul,Barnaby,,,,Individual,,Cataloguer,
4199,John,Barnes,John,,,Individual,Person,Acquisition Source : vendor,
2410,,"Barnett Samuel (stamped ""Dulcet"")",,,,Business,Corporate,"Production Person (pri & sec), Production Person (pri & sec) : Maker, Production Person (primary), Production Person (primary) : Maker",
5218,Judy,Barr,Judy,Mrs,,Individual,Person,Acquisition Source : donor,Female
4362,,Barrack Board,,,,Institution,Corporate,"Production Person (pri & sec), Production Person (primary)",
6965,W.,Barratt,W.,,,Individual,Person,"Production Person (pri & sec), Production Person (primary)",
2693,,Barratts,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
965,George,Barret,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
966,George,Barret,,, the younger,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
